n_clust,som_dim,amd_bin,experiment_name
2,0,400-600,exp4_kmeans_sa_norm
3,0,400-600,exp4_kmeans_sa_norm
4,0,400-600,exp4_kmeans_sa_norm
7,0,400-600,exp4_kmeans_sa_norm
9,0,400-600,exp4_kmeans_sa_norm
2,0,600-1200,exp4_kmeans_sa_norm
4,0,600-1200,exp4_kmeans_sa_norm
5,0,600-1200,exp4_kmeans_sa_norm
6,0,600-1200,exp4_kmeans_sa_norm
7,0,600-1200,exp4_kmeans_sa_norm
2,0,1200-2500,exp4_kmeans_sa_norm
3,0,1200-2500,exp4_kmeans_sa_norm
4,0,1200-2500,exp4_kmeans_sa_norm
5,0,1200-2500,exp4_kmeans_sa_norm
6,0,1200-2500,exp4_kmeans_sa_norm
2,0,2500-4000,exp4_kmeans_sa_norm
3,0,2500-4000,exp4_kmeans_sa_norm
4,0,2500-4000,exp4_kmeans_sa_norm
5,0,2500-4000,exp4_kmeans_sa_norm
7,0,2500-4000,exp4_kmeans_sa_norm
0,2,0-1,exp4_som
0,3,0-1,exp4_som
0,4,0-1,exp4_som
0,2,1-50,exp4_som
0,3,1-50,exp4_som
0,4,1-50,exp4_som
0,2,50-150,exp4_som
0,3,50-150,exp4_som
0,4,50-150,exp4_som
0,2,150-400,exp4_som
0,3,150-400,exp4_som
0,4,150-400,exp4_som
0,2,400-600,exp4_som
0,3,400-600,exp4_som
0,4,400-600,exp4_som
0,2,600-1200,exp4_som
0,3,600-1200,exp4_som
0,4,600-1200,exp4_som
0,2,1200-2500,exp4_som
0,3,1200-2500,exp4_som
0,4,1200-2500,exp4_som
0,2,2500-4000,exp4_som
0,3,2500-4000,exp4_som
0,4,2500-4000,exp4_som
0,2,0-1,exp4_som_unit_norm
0,3,0-1,exp4_som_unit_norm
0,4,0-1,exp4_som_unit_norm
0,2,1-50,exp4_som_unit_norm
0,3,1-50,exp4_som_unit_norm
0,4,1-50,exp4_som_unit_norm
0,2,50-150,exp4_som_unit_norm
0,3,50-150,exp4_som_unit_norm
0,4,50-150,exp4_som_unit_norm
0,2,150-400,exp4_som_unit_norm
0,3,150-400,exp4_som_unit_norm
0,4,150-400,exp4_som_unit_norm
0,2,400-600,exp4_som_unit_norm
0,3,400-600,exp4_som_unit_norm
0,4,400-600,exp4_som_unit_norm
0,2,600-1200,exp4_som_unit_norm
0,3,600-1200,exp4_som_unit_norm
0,4,600-1200,exp4_som_unit_norm
0,2,1200-2500,exp4_som_unit_norm
0,3,1200-2500,exp4_som_unit_norm
0,4,1200-2500,exp4_som_unit_norm
0,2,2500-4000,exp4_som_unit_norm
0,3,2500-4000,exp4_som_unit_norm
0,4,2500-4000,exp4_som_unit_norm
0,2,0-1,exp4_som_zero-one
0,3,0-1,exp4_som_zero-one
0,4,0-1,exp4_som_zero-one
0,2,1-50,exp4_som_zero-one
0,3,1-50,exp4_som_zero-one
0,4,1-50,exp4_som_zero-one
0,2,50-150,exp4_som_zero-one
0,3,50-150,exp4_som_zero-one
0,4,50-150,exp4_som_zero-one
0,2,150-400,exp4_som_zero-one
0,3,150-400,exp4_som_zero-one
0,4,150-400,exp4_som_zero-one
0,2,400-600,exp4_som_zero-one
0,3,400-600,exp4_som_zero-one
0,4,400-600,exp4_som_zero-one
0,2,600-1200,exp4_som_zero-one
0,3,600-1200,exp4_som_zero-one
0,4,600-1200,exp4_som_zero-one
0,2,1200-2500,exp4_som_zero-one
0,3,1200-2500,exp4_som_zero-one
0,4,1200-2500,exp4_som_zero-one
0,2,2500-4000,exp4_som_zero-one
0,3,2500-4000,exp4_som_zero-one
0,4,2500-4000,exp4_som_zero-one
0,2,0-1,exp4_som_demin
0,3,0-1,exp4_som_demin
0,4,0-1,exp4_som_demin
0,2,1-50,exp4_som_demin
0,3,1-50,exp4_som_demin
0,4,1-50,exp4_som_demin
0,2,50-150,exp4_som_demin
0,3,50-150,exp4_som_demin
0,4,50-150,exp4_som_demin
0,2,150-400,exp4_som_demin
0,3,150-400,exp4_som_demin
0,4,150-400,exp4_som_demin
0,2,400-600,exp4_som_demin
0,3,400-600,exp4_som_demin
0,4,400-600,exp4_som_demin
0,2,600-1200,exp4_som_demin
0,3,600-1200,exp4_som_demin
0,4,600-1200,exp4_som_demin
0,2,1200-2500,exp4_som_demin
0,3,1200-2500,exp4_som_demin
0,4,1200-2500,exp4_som_demin
0,2,2500-4000,exp4_som_demin
0,3,2500-4000,exp4_som_demin
0,4,2500-4000,exp4_som_demin
2,4,0-1,exp4_som+kmeans
6,4,0-1,exp4_som+kmeans
7,4,0-1,exp4_som+kmeans
8,4,0-1,exp4_som+kmeans
9,4,0-1,exp4_som+kmeans
2,7,0-1,exp4_som+kmeans
3,7,0-1,exp4_som+kmeans
4,7,0-1,exp4_som+kmeans
8,7,0-1,exp4_som+kmeans
9,7,0-1,exp4_som+kmeans
5,10,0-1,exp4_som+kmeans
6,10,0-1,exp4_som+kmeans
7,10,0-1,exp4_som+kmeans
8,10,0-1,exp4_som+kmeans
9,10,0-1,exp4_som+kmeans
2,13,0-1,exp4_som+kmeans
4,13,0-1,exp4_som+kmeans
7,13,0-1,exp4_som+kmeans
8,13,0-1,exp4_som+kmeans
9,13,0-1,exp4_som+kmeans
